year_N;N_deer_ss_SNP;N_deer_ss_SNP_1;N_deer_adj_SNP;N_deer_raw_SNP;Underest_deer;Y_deer_SNP;N_chamois_ss;N_chamois_ss_1;N_chamois_adj;N_chamois_raw;Underest_chamois;Y_chamois;S_jan.mar;S1_jan.mar;T_apr.jul;T1_apr.jul;T_jan.mar;T1_jan.mar;P_apr.jul;P1_apr.jul;P_jan.mar;P1_jan.mar
1984;98;58;97;63;0,35;0,125;757;533;750;600;0,2;0,092;102,18;70,9;9,45;11,52;-1,5;-0,69;344,4;478;230,5;161,2
1985;111;98;110;71;0,35;0,239;830;757;829;663;0,2;0,103;103,31;102,18;10,64;9,45;-3,26;-1,5;371;344,4;195,6;230,5
1986;141;111;142;92;0,35;0,181;920;830;923;738;0,2;0,072;67,23;103,31;9,45;10,64;-2,8;-3,26;464,6;371;183,6;195,6
1987;169;141;170;110;0,35;0,112;989;920;989;791;0,2;0,075;75,25;67,23;8,87;9,45;-1,64;-2,8;484;464,6;179,8;183,6
1988;189;169;189;123;0,35;0,124;1066;989;1070;856;0,2;0,036;19,93;75,25;9,61;8,87;2,12;-1,64;423;484;120,4;179,8
1989;214;189;213;138;0,35;0,159;1105;1066;1101;881;0,2;0,07;31,02;19,93;8,79;9,61;1,91;2,12;542,8;423;94,4;120,4
1990;251;214;255;166;0,35;0,02;1185;1105;1191;953;0,2;0,016;96,52;31,02;9,45;8,79;-0,85;1,91;349,4;542,8;185;94,4
1991;256;251;250;163;0,35;0,242;1204;1185;1193;954;0,2;0,113;58,22;96,52;8,58;9,45;0,57;-0,85;347,6;349,4;106,6;185
1992;326;256;320;208;0,35;0,401;1348;1204;1368;1094;0,2;-0,032;54,62;58,22;9,68;8,58;0,07;0,57;502,2;347,6;42,6;106,6
1993;487;326;494;321;0,35;0,284;1306;1348;1269;1015;0,2;0,255;79,94;54,62;9,24;9,68;0,41;0,07;317,6;502,2;163;42,6
1994;647;487;646;420;0,35;0,292;1685;1306;1720;1376;0,2;0,05;51,23;79,94;9,97;9,24;-1,67;0,41;380,8;317,6;120;163
1995;866;647;882;573;0,35;0,132;1772;1685;1746;1397;0,2;0,2;77,37;51,23;9,81;9,97;-2,21;-1,67;345,6;380,8;64;120
1996;988;866;989;643;0,35;0,127;2164;1772;2226;1781;0,2;-0,086;70,63;77,37;9,87;9,81;1,67;-2,21;294,6;345,6;72,4;64
1997;1122;988;1132;736;0,35;0,048;1985;2164;1960;1568;0,2;0,039;45,53;70,63;9,02;9,87;0,95;1,67;351,6;294,6;48,4;72,4
1998;1177;1122;1157;752;0,35;0,197;2064;1985;2078;1662;0,2;-0,029;50,41;45,53;9,85;9,02;-1;0,95;363,6;351,6;154,6;48,4
1999;1434;1177;1462;950;0,35;0,028;2006;2064;2010;1608;0,2;-0,05;51,81;50,41;9,93;9,85;-0,02;-1;217,6;363,6;93,8;154,6
2000;1474;1434;1540;1001;0,35;-0,358;1908;2006;1963;1570;0,2;-0,335;135,46;51,81;10,19;9,93;-0,47;-0,02;312,2;217,6;280,4;93,8
2001;1030;1474;958;623;0,35;0,274;1365;1908;1325;1060;0,2;-0,038;18,36;135,46;9,89;10,19;0,99;-0,47;368;312,2;115,6;280,4
2002;1354;1030;1372;892;0,35;0,154;1314;1365;1306;1045;0,2;0,026;71,87;18,36;10,14;9,89;-1,02;0,99;435,6;368;17,6;115,6
2003;1580;1354;1603;1042;0,35;0,031;1348;1314;1351;1081;0,2;0,002;103,41;71,87;11,71;10,14;-1,21;-1,02;232,4;435,6;128;17,6
2004;1629;1580;1635;1063;0,35;0,001;1351;1348;1346;1077;0,2;0,036;46,63;103,41;9,89;11,71;-1,59;-1,21;232,6;232,4;28;128
2005;1631;1629;1649;1072;0,35;-0,099;1401;1351;1414;1131;0,2;-0,056;68,89;46,63;10,99;9,89;-1,97;-1,59;265,6;232,6;116,6;28
2006;1478;1631;1422;924;0,35;0,241;1325;1401;1324;1059;0,2;-0,046;42,73;68,89;11,59;10,99;1,83;-1,97;222;265,6;119;116,6
2007;1881;1478;1923;1250;0,35;0,047;1265;1325;1266;1013;0,2;-0,057;68,48;42,73;12,29;11,59;0,61;1,83;233,4;222;130,2;119
2008;1972;1881;2085;1355;0,35;-0,443;1195;1265;1206;965;0,2;-0,15;134,85;68,48;9,87;12,29;-1,53;0,61;521;233,4;202;130,2
2009;1266;1972;1231;800;0,35;-0,196;1029;1195;1018;814;0,2;-0,037;107,97;134,85;11,26;9,87;-2,5;-1,53;340;521;142,6;202
2010;1041;1266;1008;655;0,35;0,086;992;1029;999;799;0,2;-0,105;93,47;107,97;10,59;11,26;0,69;-2,5;362,2;340;65,4;142,6
2011;1134;1041;1128;733;0,35;0,136;893;992;883;706;0,2;0,007;50,87;93,47;12,3;10,59;0,5;0,69;284,4;362,2;93,2;65,4
2012;1299;1134;1317;856;0,35;0,015;899;893;916;733;0,2;-0,183;94,53;50,87;10,76;12,3;-1,69;0,5;444,6;284,4;159,8;93,2
2013;1318;1299;1337;869;0,35;-0,111;749;899;730;584;0,2;0,08;152,97;94,53;10,15;10,76;0,61;-1,69;468;444,6;414,6;159,8
2014;1180;1318;1160;754;0,35;0,037;811;749;818;654;0,2;-0,011;61,86;152,97;10,24;10,15;0,04;0,61;424;468;138,4;414,6
2015;1225;1180;1203;782;0,35;0,197;802;811;796;637;0,2;0,064;45,78;61,86;11,87;10,24;-0,09;0,04;280,6;424;197,8;138,4
2016;1491;1225;1491;969;0,35;0,195;855;802;860;688;0,2;0,009;24,1;45,78;10,28;11,87;0,66;-0,09;398;280,6;94,4;197,8
2017;1812;1491;1989;1293;0,35;-0,623;863;855;870;696;0,2;-0,066;105,83;24,1;11,42;10,28;-1,66;0,66;310,6;398;159;94,4
2018;972;1812;898;584;0,35;;808;863;803;642;0,2;;;;;;;;;;;
